Contexts,generated question
"Although the masses of the electron, the proton, and the neutron are known to a high degree of precision (Table 1.3 ""Properties of Subatomic Particles*""), the mass of any given atom is not simply the sum of the masses of its electrons, protons, and neutrons. For example, the ratio of the masses of 1H (hydrogen) and 2H (deuterium) is actually 0.500384, rather than 0.49979 as predicted from the numbers of neutrons and protons present. Although the difference in mass is small, it is extremely important because it is the source of the huge amounts of energy released in nuclear reactions (Chapter 20 ""Nuclear Chemistry""). Because atoms are much too small to measure individually and do not have a charge, there is no convenient way to accurately measure absolute atomic masses. Scientists can measure relative atomic masses very accurately, however, using an instrument called a mass spectrometer. The technique is conceptually similar to the one Thomson used to determine the mass-to-charge ratio of the electron. First, electrons are removed from or added to atoms or molecules, thus producing charged particles called ions. When an electric field is applied, the ions are accelerated into a separate chamber where they are deflected from their initial trajectory by a magnetic field, like the electrons in Thomson�s experiment. The extent of the deflection depends on the mass-to-charge ratio of the ion. By measuring the relative deflection of ions that have the same charge, scientists can determine their relative masses (Figure 1.25 ""Determining Relative Atomic Masses Using a Mass Spectrometer""). Thus it is not possible to calculate absolute atomic masses accurately by simply adding together the masses of the electrons, the protons, and the neutrons, and absolute atomic masses cannot be measured, but relative masses can be measured very accurately. It is actually rather common in chemistry to encounter a quantity whose magnitude can be measured only relative to some other quantity, rather than absolutely. We will encounter many other examples later in this text. In such cases,.",What instrument is used to measure relative atomic masses accurately?
"All forms of energy can be interconverted. Three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of heat and work.",What are the three things that can change the energy of an object?
Mariana Ruiz Villarreal (LadyofHats) for CK-12 Foundation. The nitrogen cycle tracks the flow of nitrogen through an ecosystem . CC BY-NC 3.0.,What does the nitrogen cycle track the flow of through an ecosystem?
"When electrons return to a lower energy level, they emit energy in the form of light.",What happens when electrons return to a lower energy level?
Gene transcription is controlled by regulatory proteins that bind to regulatory elements on DNA. The proteins usually either activate or repress transcription.,What controls gene transcription by binding to regulatory elements on DNA?
"Bacteria can also be chemotrophs. Chemosynthetic bacteria, or chemotrophs , obtain energy by breaking down chemical compounds in their environment. An example of one of these chemicals broken down by bacteria is nitrogen-containing ammonia. These bacteria are important because they help cycle nitrogen through the environment for other living things to use. Nitrogen cannot be made by living organisms, so it must be continually recycled. Organisms need nitrogen to make organic compounds, such as DNA.",What do chemotrophs obtain energy by breaking down in their environment?
"The story is quite different for gases. Gases take the shape of their container, and they are relatively easy to compress. There are fewer gas particles per unit volume than for the same substance in the liquid or solid form. In fact, the liquid form of a given material is generally several hundred times more dense than the gas form at normal pressures. Despite the large amounts of empty space, a sample of a gas contains many particles moving around, colliding and imparting force on their surroundings. For example, in a one mole sample of gas at 0�C and 1 atm of pressure, each cubic centimeter contains roughly 2.7 � 10 19 molecules. Each molecule participates in several billion collisions every second, moving only about 10-100 nanometers between collisions. Additionally, these gas particles move at very high speeds. For example, at 25�C, the average speed of hydrogen molecules in a sample of hydrogen gas is 1960 m/s.",What is the average speed of hydrogen molecules in a sample of hydrogen gas at 25�C?
Seed plants called angiosperms produce seeds in the ovaries of flowers.,Where do angiosperms produce seeds?
"Figure 14.3 The Tongue The tongue is covered with small bumps, called papillae, which contain taste buds that are sensitive to chemicals in ingested food or drink. Different types of papillae are found in different regions of the tongue. The taste buds contain specialized gustatory receptor cells that respond to chemical stimuli dissolved in the saliva. These receptor cells activate sensory neurons that are part of the facial and glossopharyngeal nerves. LM � 1600. (Micrograph provided by the Regents of University of Michigan Medical School � 2012).",What are the small bumps on the tongue called?
"The trigeminal pathway carries somatosensory information from the face, head, mouth, and nasal cavity. As with the previously discussed nerve tracts, the sensory pathways of the trigeminal pathway each involve three successive neurons. First, axons from the trigeminal ganglion enter the brain stem at the level of the pons. These axons project to one of three locations. The spinal trigeminal nucleus of the medulla receives information similar to that carried by spinothalamic tract, such as pain and temperature sensations. Other axons go to either the chief sensory nucleus in the pons or the mesencephalic nuclei in the midbrain. These nuclei receive information like that carried by the dorsal column system, such as touch, pressure, vibration, and proprioception. Axons from the second neuron decussate and ascend to the thalamus along the trigeminothalamic tract. In the thalamus, each axon synapses with the third neuron in its respective pathway. Axons from the third neuron then project from the thalamus to the primary somatosensory cortex of the cerebrum. The sensory pathway for gustation travels along the facial and glossopharyngeal cranial nerves, which synapse with neurons of the solitary nucleus in the brain stem. Axons from the solitary nucleus then project to the ventral posterior nucleus of the thalamus. Finally, axons from the ventral posterior nucleus project to the gustatory cortex of the cerebral cortex, where taste is processed and consciously perceived. The sensory pathway for audition travels along the vestibulocochlear nerve, which synapses with neurons in the cochlear nuclei of the superior medulla. Within the brain stem, input from either ear is combined to extract location information from the auditory stimuli. Whereas the initial auditory stimuli received at the cochlea strictly represent the frequency�or pitch�of the stimuli, the locations of sounds can be determined by comparing information arriving at both ears.",What does the trigeminal pathway carry somatosensory information from?
"Watch this short video (http://openstaxcollege. org/l/transgenic) explaining how scientists create a transgenic animal. Although the classic methods of studying the function of genes began with a given phenotype and determined the genetic basis of that phenotype, modern techniques allow researchers to start at the DNA sequence level and ask: ""What does this gene or DNA element do?"" This technique, called reverse genetics, has resulted in reversing the classical genetic methodology. One example of this method is analogous to damaging a body part to determine its function. An insect that loses a wing cannot fly, which means that the wing�s function is flight. The classic genetic method compares insects that cannot fly with insects that can fly, and observes that the non-flying insects have lost wings. Similarly in a reverse genetics approach, mutating or deleting genes provides researchers with clues about gene function. Alternately, reverse genetics can be used to cause a gene to overexpress itself to determine what phenotypic effects may occur.",What is the technique called that allows researchers to start at the DNA sequence level and determine the function of a gene or DNA element?
"Annelids called polychaete worms live on the ocean floor. They may be filter feeders, predators, or scavengers. The amazing feather duster worm in Figure below is a polychaete that has a fan-like crown of tentacles for filter feeding.",What are some possible feeding behaviors of polychaete worms?
"Many adults and some children suffer from a deficiency of lactase. These individuals are said to be lactose intolerant because they cannot digest the lactose found in milk. A more serious problem is the genetic disease galactosemia, which results from the absence of an enzyme needed to convert galactose to glucose. Certain bacteria can metabolize lactose, forming lactic acid as one of the products. This reaction is responsible for the �souring� of milk.",What is the genetic disease that results from the absence of an enzyme needed to convert galactose to glucose?
Saturn�s composition is similar to Jupiter's. The planet is made mostly of hydrogen and helium. These elements are gases in the outer layers and liquids in the deeper layers. Saturn may also have a small solid core. Saturn's upper atmosphere has clouds in bands of different colors. These clouds rotate rapidly around the planet. But Saturn has fewer storms than Jupiter. Thunder and lightning have been seen in the storms on Saturn ( Figure below ).,"""What are the main elements that make up Saturn's composition?"""
"Alkenes Organic compounds that contain one or more double or triple bonds between carbon atoms are described as unsaturated. You have likely heard of unsaturated fats. These are complex organic molecules with long chains of carbon atoms, which contain at least one double bond between carbon atoms. Unsaturated hydrocarbon molecules that contain one or more double bonds are called alkenes. Carbon atoms linked by a double bond are bound together by two bonds, one s bond and one p bond. Double and triple bonds give rise to a different geometry around the carbon atom that participates in them, leading to important differences in molecular shape and properties. The differing geometries are responsible for the different properties of unsaturated versus saturated fats. Ethene, C2H4, is the simplest alkene. Each carbon atom in ethene, commonly called ethylene, has a trigonal planar structure. The second member of the series is propene (propylene) (Figure 20.7); the butene isomers follow in the series. Four carbon atoms in the chain of butene allows for the formation of isomers based on the position of the double bond, as well as a new form of isomerism.",What are organic compounds called that contain one or more double or triple bonds between carbon atoms?
The two major types of seed plants are the gymnosperms (seeds in cones) and angiosperms (seeds in ovaries of flowers). Figure below shows how the seeds of gymnosperms and angiosperms differ. Do you see the main difference between the two seeds? The angiosperm seed is surrounded by an ovary .,"""What is the main difference between the seeds of gymnosperms and angiosperms?"""
"Cations have positive charges, and anions have negative charges.",What charges do cations and anions have?
"The majority of arthropods are insects (Class Insecta). In fact, more than half of all known organisms are insects. There may be more than 10 million insect species in the world, although most of them have not yet been identified. In terms of their numbers and diversity, insects clearly are the dominant animals in the world.",What is the dominant animal group in terms of numbers and diversity?
"can occur in electrolytic cells by introducing a power supply, which supplies the energy to force the electrons to flow in the nonspontaneous direction. Electrolysis is done in solutions, which contain enough ions so current can flow. If the solution contains only one material, like the electrolysis of molten sodium chloride, it is a simple matter to determine what is oxidized and what is reduced. In more complicated systems, like the electrolysis of aqueous sodium chloride, more than one species can be oxidized or reduced and the standard reduction potentials are used to determine the most likely oxidation (the half-reaction with the largest [most positive] standard reduction potential) and reduction (the half-reaction with the smallest [least positive] standard reduction potential). Sometimes unexpected half-reactions occur because of overpotential. Overpotential is the difference between the theoretical half-reaction reduction potential and the actual voltage required. When present, the applied potential must be increased, making it possible for a different reaction to occur in the electrolytic cell. The total charge, Q, that passes through an electrolytic cell can be expressed as the current (I) multiplied by time (Q = It) or as the moles of electrons (n) multiplied by Faraday�s constant (Q = nF). These relationships can be used to determine things like the amount of material used or generated during electrolysis, how long the reaction must proceed, or what value of the current is required.",What is the difference between theoretical half-reaction reduction potential and the actual voltage required in an electrolytic cell?
"The branch of biology that studies animal behavior is called ethology. Ethologists usually study how animals behave in their natural environment. They try to determine the cause of behaviors, how behaviors develop, and how and why behaviors evolve.",What is the branch of biology that studies animal behavior called?
"While the egg is developing, other changes are taking place in the uterus. It develops a thick lining that is full of tiny blood vessels. The lining prepares the uterus to receive a fertilized egg if fertilization actually takes place.",What does the uterus develop to prepare for a fertilized egg?
Earth science includes many fields of science related to our home planet.,What does Earth science encompass?
"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous.",Which type of radioactive decay is considered the least dangerous to living things?
"Take a close look at this gorilla hand. The similarities to a human hand are remarkable. Comparing anatomy, and characterizing the similarities and differences, provides evidence of evolution.","""What provides evidence of evolution when comparing the anatomy of a gorilla hand to a human hand?"""
"All animals have innate behaviors, even human beings. Can you think of human behaviors that do not have to be learned? Chances are, you will have a hard time thinking of any. The only truly innate behaviors in humans are called reflex behaviors . They occur mainly in babies. Like innate behaviors in other animals, reflex behaviors in human babies may help them survive.",What are the only truly innate behaviors in humans called?
"The crocodilian digestive system is highly adapted to their lifestyle. Crocodilians are known to swallow stones, known as gastroliths , which help digest their prey. The crocodilian stomach is divided into two chambers. The first is powerful and muscular. The other stomach is the most acidic digestive system of any animal. It can digest mostly everything from their prey, including bones, feathers, and horns!.",What do crocodilians swallow to help digest their prey?
"Group 14 is called the carbon group. This group contains two metalloids: silicon and germanium. Carbon is a nonmetal, and the remaining elements in this group are metals.",What are the two metalloids in Group 14 called?
"Surface waves travel along the ground outward from an earthquake�s epicenter. Surface waves are the slowest of all seismic waves. They travel at 2.5 km (1.5 miles) per second. There are two types of surface waves. Love waves move side-to-side, much like a snake. Rayleigh waves produce a rolling motion as they move up and backward ( Figure above ). Surface waves cause objects to fall and rise. They also cause objects to sway back and forth. These motions cause damage to rigid structures during an earthquake.",What are the two types of surface waves?
"Life is complex, and there are millions of species alive today. Many millions more lived in the past and then went extinct. Organisms include microscopic, single-celled organisms. They also include complex, multicellular animals such as you. Clearly, life science is a huge science. That�s why a life scientist usually specializes in just one field within life science. Dr. Smith, for example, specializes in ecology. You can see the focus of ecology and several other life science fields in Table below . Click on the links provided if you want to learn about careers in these fields.",What is the focus of ecology and several other life science fields?
Scientists study meteorites to learn about Earth�s interior. Meteorites formed in the early solar system. These objects represent early solar system materials. Some meteorites are made of iron and nickel. They are thought to be very similar to Earth's core ( Figure below ). An iron meteorite is the closest thing to a sample of the core that scientists can hold in their hands!.,What do scientists study meteorites to learn about?
"24.7 Nutrition and Diet Nutrition and diet affect your metabolism. More energy is required to break down fats and proteins than carbohydrates; however, all excess calories that are ingested will be stored as fat in the body. On average, a person requires 1500 to 2000 calories for normal daily activity, although routine exercise will increase that amount. If you ingest more than that, the remainder is stored for later use. Conversely, if you ingest less than that, the energy stores in your body will be depleted. Both the quantity and quality of the food you eat affect your metabolism and can affect your overall health. Eating too much or too little can result in serious medical conditions, including cardiovascular disease, cancer, and diabetes. Vitamins and minerals are essential parts of the diet. They are needed for the proper function of metabolic pathways in the body. Vitamins are not stored in the body, so they must be obtained from the diet or synthesized from precursors available in the diet. Minerals are also obtained from the diet, but they are also stored, primarily in skeletal tissues.",What can result from eating too much or too little?
Transmitted light may be refracted or scattered. When does each process occur?.,When does transmitted light may be refracted or scattered?
"When using measuring devices, we often use a technique called calibration to increase the accuracy of our measurements. Calibration is a method of setting or correcting a measuring device by matching it to known measurement standards. To better understand calibration, we will look at the example of calibrating a thermometer. All thermometers are slightly different in their temperature readings. One way to calibrate a thermometer is by using the freezing point and boiling point of water ( Figure below ). If we know that water freezes at 0�C and boils at 100�C, we can calibrate our thermometer by measuring the temperature of ice water and of boiling water. We place the thermometer in ice water and wait for the thermometer liquid to reach a stable height, then place a mark at this height which represents 0�C. Then we place the thermometer in boiling water, and after waiting for the thermometer liquid to reach a stable height, we place a mark at this height which represents 100�C. We can then place 100 equally spaced divisions between our 0 and 100�C marks to each represent 1�C. Our thermometer has now been calibrated using the known values for the freezing point and boiling point of water, and can be used to measure temperatures of objects between 0 and 100�C.",How can a thermometer be calibrated?
Geologic maps display rock units and geologic features. A small scale map displays individual rock units while a large scale map shows geologic provinces.,What do geologic maps display?
"Another exception to Mendel's laws is a phenomenon called codominance . For example, our blood type shows codominance. Do you know what your blood type is? Are you A? O? AB? Those letters actually represent alleles. Unlike other traits, your blood type has three alleles, instead of two!.",What is an example of a phenomenon that is an exception to Mendel's laws?
"Some predator species are known as keystone species. A keystone species is one that plays an especially important role in its community. Major changes in the numbers of a keystone species affect the populations of many other species in the community. For example, some sea star species are keystone species in coral reef communities. The sea stars prey on mussels and sea urchins, which have no other natural predators. If sea stars were removed from a coral reef community, mussel and sea urchin populations would have explosive growth. This, in turn, would drive out most other species. In the end, the coral reef community would be destroyed.",What is a keystone species and what role does it play in its community?
42.1 Circulatory systems link exchange surfaces with cells throughout the body.,What do circulatory systems link exchange surfaces with throughout the body?
"Atmospheric pressure is the pressure exerted by gas particles in Earth�s atmosphere as those particles collide with objects. A barometer is an instrument used to measure atmospheric pressure. A traditional mercury barometer consists of an evacuated tube immersed in a container of mercury. Air molecules push down on the surface of the mercury. Because the inside of the tube is a vacuum, the mercury rises inside the tube. The height to which the mercury rises is dependent on the external air pressure.",What instrument is used to measure atmospheric pressure?
"The warm-air vent is placed near the floor of the room. Warm air is less dense than cold air so it rises. If the warm-air vent were placed near the ceiling instead, how would this affect the transfer of thermal energy throughout the room?.",How would placing the warm-air vent near the ceiling affect the transfer of thermal energy throughout the room?
"Annelids are divided into many repeating segments. The earthworm in Figure below is an annelid. You can clearly see its many segments. Segmentation of annelids is highly adaptive. Each segment has its own nerve and muscle tissues. This allows the animal to move very efficiently. Some segments can also be specialized to carry out particular functions. They may have special structures on them. For example, they might have tentacles for sensing or feeding, �paddles� for swimming, or suckers for clinging to surfaces.",What allows annelids to move efficiently and carry out specialized functions?
"Melting and boiling points are somewhat unique identifiers, especially of compounds. In addition to giving some idea as to the identity of the compound, important information can be obtained about the purity of the material.",What can melting and boiling points provide information about?
"The two materials do have at least one thing in common. The atoms in the materials are held together by covalent bonds. These bonds consist of electrons shared between two or more atoms. Unlike ionic bonds, where electrons are either lost or gained by an atom to form charged ions, electrons in covalent compounds are shared between the two atoms, giving rise to properties that are quite different from those seen in ionic materials.",What type of bonds hold the atoms together in covalent compounds?
Earthquakes are primarily the result of plate tectonic motions. What type of stress would cause earthquakes at each of the three types of plate boundaries?.,What is the primary cause of earthquakes at plate boundaries?
Sexual reproduction occurs when spores from two parents fuse and form a zygospore.,How does sexual reproduction occur in organisms?
"0 .033 g 1 .117 g � 100 = 3 .0% When a series of measurements is precise but not accurate, the error is usually systematic. Systematic errors can be caused by faulty instrumentation or faulty technique. The difference between accuracy and precision is demonstrated in Skill Builder ES7.",What is the difference between accuracy and precision?
"Meteoroids are smaller than asteroids, ranging from the size of boulders to the size of sand grains. When meteoroids enter Earth�s atmosphere, they vaporize, creating a trail of glowing gas called a meteor. If any of the meteoroid reaches Earth, the remaining object is called a meteorite.",What is the term for the glowing gas trail created when meteoroids enter Earth's atmosphere?
The other idea is that evolution occurs by natural selection. Natural selection is the process in which living things with beneficial traits produce more offspring than others do. This results in changes in the traits of living things over time.,What is the process in which living things with beneficial traits produce more offspring than others do?
"The amount of reactants and products do not have to be equal. However, after equilibrium is attained, the amounts of reactants and products will be constant.",What happens to the amounts of reactants and products after equilibrium is attained?
Photosynthetic protists use light energy to make food. They are major producers in aquatic ecosystems.,What do photosynthetic protists use light energy for?
"All of the changes of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. Evaporation occurs when a liquid turns to a gas. Condensation is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states.","What are the opposite processes of freezing, melting, evaporation, and condensation?"
"Ribosomes are small organelles and are the sites of protein synthesis (or assembly). They are made of ribosomal protein and ribosomal RNA, and are found in both eukaryotic and prokaryotic cells. Unlike other organelles, ribosomes are not surrounded by a membrane. Each ribosome has two parts, a large and a small subunit, as shown in Figure below . The subunits are attached to one another. Ribosomes can be found alone or in groups within the cytoplasm. Some ribosomes are attached to the endoplasmic reticulum (ER) (as shown in Figure below ), and others are attached to the nuclear envelope.",What are ribosomes made of and where are they found in cells?
"The haploid life cycle ( Figure below ) is the simplest life cycle. It is found in many single-celled organisms. Organisms with a haploid life cycle spend the majority of their lives as haploid gametes. When the haploid gametes fuse, they form a diploid zygote. It quickly undergoes meiosis to produce more haploid gametes that repeat the life cycle.",What is the majority of the life cycle of organisms with a haploid life cycle spent as?
"An electrolytic cell is the apparatus used for carrying out an electrolysis reaction. In an electrolytic cell, electric current is applied to provide a source of electrons for driving the reaction in a nonspontaneous direction. In a voltaic cell, the reaction goes in a direction that releases electrons spontaneously. In an electrolytic cell, the input of electrons from an external source forces the reaction to go in the opposite direction.",What is the purpose of an electrolytic cell in an electrolysis reaction?
"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good insulator. The amount of available space for airflow determines whether air acts as an insulator or conductor. The space between the inside and outside walls of a house, for example, is about 9 cm (3.5 in) �large enough for convection to work effectively. The addition of wall insulation prevents airflow, so heat loss (or gain) is decreased. Similarly, the gap between the two panes of a double-paned window is about 1 cm, which prevents convection and takes advantage of air�s low conductivity to prevent greater loss. Fur, fiber, and fiberglass also take advantage of the low conductivity of air by trapping it in spaces too small to support convection, as shown in the figure. Fur and feathers are lightweight and thus ideal for the protection of animals.",What determines whether air acts as an insulator or conductor?
"Power may be measured in a unit called the horsepower. One horsepower is the amount of work a horse can do in 1 minute, which equals 745 watts of power.",What is the unit of measurement for power that is equal to the work a horse can do in 1 minute?
"Salts Recall that salts are formed when ions form ionic bonds. In these reactions, one atom gives up one or more electrons, and thus becomes positively charged, whereas the other accepts one or more electrons and becomes negatively charged. You can now define a salt as a substance that, when dissolved in water, dissociates into ions other than H+ or OH�. This fact is important in distinguishing salts from acids and bases, discussed next. A typical salt, NaCl, dissociates completely in water (Figure 2.15). The positive and negative regions on the water molecule (the hydrogen and oxygen ends respectively) attract the negative chloride and positive sodium ions, pulling them away from each other. Again, whereas nonpolar and polar covalently bonded compounds break apart into molecules in solution, salts dissociate into ions. These ions are electrolytes; they are capable of conducting an electrical current in solution. This property is critical to the function of ions in transmitting nerve impulses and prompting muscle contraction.",What happens to a salt when it is dissolved in water?
"Diseases of the endocrine system are relatively common. An endocrine disease usually involves the secretion of too much or not enough hormone. When too much hormone is secreted, it is called hypersecretion. When not enough hormone is secreted, it is called hyposecretion.",What is it called when there is an excessive secretion of hormone in the endocrine system?
"The aphotic zone is water deeper than 200 meters. This is where too little sunlight penetrates for photosynthesis to occur. As a result, producers must make ""food"" by chemosynthesis , or the food must drift down from the water above.",What is the depth at which the aphotic zone begins?
"The Major Divisions of Land Plants Land plants are classified into two major groups according to the absence or presence of vascular tissue, as detailed in Figure 14.8. Plants that lack vascular tissue formed of specialized cells for the transport of water and nutrients are referred to as nonvascular plants. The bryophytes, liverworts, mosses, and hornworts are seedless and nonvascular, and likely appeared early in land plant evolution. Vascular plants developed a network of cells that conduct water and solutes through the plant body. The first vascular plants appeared in the late Ordovician (461�444 million years ago) and were probably similar to lycophytes, which include club mosses (not to be confused with the mosses) and the pterophytes (ferns, horsetails, and whisk ferns). Lycophytes and pterophytes are referred to as seedless vascular plants. They do not produce seeds, which are embryos with their stored food reserves protected by a hard casing. The seed plants form the largest group of all existing plants and, hence, dominate the landscape. Seed plants include gymnosperms, most notably conifers, which produce �naked.",What are plants called that lack vascular tissue?
"The adductor muscle that closes the jaw is composed of two muscles in mammals: the temporalis and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth rather than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or �baby� teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, possess a four-chambered heart. Mammals also have a specialized group of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the hind or lower limbs and region of the tail to the kidneys. Renal portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates.",What allows mammals to produce urine with a high concentration of solutes?
"(a) Initially, the system (a copper penny and concentrated nitric acid) is at atmospheric pressure. (b) When the penny is added to the nitric acid, the volume of NO2 gas that is formed causes the piston to move upward to maintain the system at atmospheric pressure. In doing so, the system is performing work on its surroundings. The symbol E in represents the internal energy of a system, which is the sum of the kinetic energy and potential energy of all its components. It is the change in internal energy that produces heat plus work. To measure the energy changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity calledenthalpy (H) (from the Greek enthalpein, meaning �to warm�). The enthalpy of a system is defined as the sum of its internal energy E plus the product of its pressure Pand volume V:.","""What is the sum of the internal energy and the product of pressure and volume called?"""
The amount of kinetic energy in a moving object depends directly on its mass and velocity. An object with greater mass or greater velocity has more kinetic energy. You can calculate the kinetic energy of a moving object with this equation:.,What factors determine the amount of kinetic energy in a moving object?
"Male Reproductive System Erectile dysfunction (ED) is a condition in which a man has difficulty either initiating or maintaining an erection. The combined prevalence of minimal, moderate, and complete ED is approximately 40 percent in men at age 40, and reaches nearly 70 percent by 70 years of age. In addition to aging, ED is associated with diabetes, vascular disease, psychiatric disorders, prostate disorders, the use of some drugs such as certain antidepressants, and problems with the testes resulting in low testosterone concentrations. These physical and emotional conditions can lead to interruptions in the vasodilation pathway and result in an inability to achieve an erection. Recall that the release of NO induces relaxation of the smooth muscles that surround the penile arteries, leading to the vasodilation necessary to achieve an erection. To reverse the process of vasodilation, an enzyme called phosphodiesterase (PDE) degrades a key component of the NO signaling pathway called cGMP. There are several different forms of this enzyme, and PDE type 5 is the type of PDE found in the tissues of the penis. Scientists discovered that inhibiting PDE5 increases blood flow, and allows vasodilation of the penis to occur. PDEs and the vasodilation signaling pathway are found in the vasculature in other parts of the body. In the 1990s, clinical trials of a PDE5 inhibitor called sildenafil were initiated to treat hypertension and angina pectoris (chest pain caused by poor blood flow through the heart). The trial showed that the drug was not effective at treating heart conditions, but many men experienced erection and priapism (erection lasting longer than 4 hours). Because of this, a clinical trial was started to investigate the ability of sildenafil to promote erections in men suffering from ED. In 1998, the FDA approved the drug, marketed as Viagra�. Since approval of the drug, sildenafil and similar PDE inhibitors now generate over a billion dollars a year in sales, and are reported to be effective in treating approximately 70 to 85 percent of cases of ED. Importantly, men with health problems�especially those with cardiac disease taking nitrates�should avoid Viagra or talk to their physician to find out if they are a candidate for the use of this drug, as deaths have been reported for at-risk users.",What is the condition in which a man has difficulty either initiating or maintaining an erection?
"Intrinsic Muscles of the Hand The intrinsic muscles of the hand both originate and insert within it (Figure 11.28). These muscles allow your fingers to also make precise movements for actions, such as typing or writing. These muscles are divided into three groups. The thenar muscles are on the radial aspect of the palm. The hypothenar muscles are on the medial aspect of the palm, and the intermediate muscles are midpalmar. The thenar muscles include the abductor pollicis brevis, opponens pollicis, flexor pollicis brevis, and the adductor pollicis. These muscles form the thenar eminence, the rounded contour of the base of the thumb, and all act on the thumb. The movements of the thumb play an integral role in most precise movements of the hand. The hypothenar muscles include the abductor digiti minimi, flexor digiti minimi brevis, and the opponens digiti minimi. These muscles form the hypothenar eminence, the rounded contour of the little finger, and as such, they all act on the little finger. Finally, the intermediate muscles act on all the fingers and include the lumbrical, the palmar interossei, and the dorsal interossei.",What are the three groups of muscles that make up the intrinsic muscles of the hand?
"Nearsightedness, or myopia, is the condition in which nearby objects are seen clearly, but distant objects are blurry. It occurs when the eyeball is longer than normal. This causes images to be focused in front of the retina. Myopia can be corrected with concave lenses. The lenses focus images farther back in the eye, so they are on the retina instead of in front of it.",What causes distant objects to appear blurry in the condition of nearsightedness?
"Recall that our DNA is wound into chromosomes . Each of our chromosomes contains a long chain of DNA that encodes hundreds, if not thousands, of genes. Each of these genes can have slightly different versions from individual to individual. These variants of genes are called alleles . Each parent only donates one allele for each gene to an offspring.","""What are the slightly different versions of genes called?"""
"The pressure of the earth�s atmosphere, as with any fluid, increases with the height of the column of air. In the case of earth�s atmosphere, there are some complications. The density of the air is not uniform but decreases with altitude. Additionally there is no distinct top surface from which height can be measured. We can, however, calculate the approximate difference in pressure between two altitudes using the equation . The average pressure of the atmosphere at sea level is 1.013 � 10 5 Pa. This pressure is often expressed as 101.3 kPa.",How does the pressure of the earth's atmosphere change with altitude?
All plants have a characteristic life cycle that includes alternation of generations . Plants alternate between haploid and diploid generations. Alternation of generations allows for both asexual and sexual reproduction. Asexual reproduction with spores produces haploid individuals called gametophytes . Sexual reproduction with gametes and fertilization produces diploid individuals called sporophytes . A typical plant�s life cycle is diagrammed in Figure below .,What is the characteristic life cycle of plants called?
Erosion moves the pieces of broken rock.,What does erosion move?
Ionic bonds are formed by the attraction between oppositely charged ions.,What type of bonds are formed by the attraction between oppositely charged ions?
The key to continued growth and repair of plant cells is meristem . Meristem is a type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate. Meristem at the tips of roots and stems allows them to grow in length. This is called primary growth. Meristem within and around vascular tissues allows growth in width. This is called secondary growth.,What is the key to continued growth and repair of plant cells?
"FM radio is inherently less subject to noise from stray radio sources than AM radio. The reason is that amplitudes of waves add. So an AM receiver would interpret noise added onto the amplitude of its carrier wave as part of the information. An FM receiver can be made to reject amplitudes other than that of the basic carrier wave and only look for variations in frequency. It is thus easier to reject noise from FM, since noise produces a variation in amplitude. Television is also broadcast on electromagnetic waves. Since the waves must carry a great deal of visual as well as audio information, each channel requires a larger range of frequencies than simple radio transmission. TV channels utilize frequencies in the range of 54 to 88 MHz and 174 to 222 MHz. (The entire FM radio band lies between channels 88 MHz and 174 MHz. ) These TV channels are called VHF (for very high frequency). Other channels called UHF (for ultra high frequency) utilize an even higher frequency range of 470 to 1000 MHz. The TV video signal is AM, while the TV audio is FM. Note that these frequencies are those of free transmission with the user utilizing an old-fashioned roof antenna. Satellite dishes and cable transmission of TV occurs at significantly higher frequencies and is rapidly evolving with the use of the high-definition or HD format.",Why is FM radio less subject to noise from stray radio sources compared to AM radio?
